Category,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Air transportation,12.77,14.08,18.11,19.94,19.44,21.25,19.70,19.88,18.88,15.98,17.03,16.99,17.28,16.42,16.58,17.68,16.09,17.72,19.44,18.74,18.60,19.15,19.71,20.80,22.18,22.12,21.00,21.34,10.12,10.39
Rail transportation,19.69,15.32,10.76,9.11,8.66,7.76,7.93,7.79,7.57,7.57,7.11,7.29,7.17,7.46,7.83,7.82,8.73,8.14,7.79,8.08,8.40,8.33,8.41,7.83,6.88,6.78,6.74,6.19,6.57,5.93
Water transportation,3.41,2.92,2.95,2.72,2.74,2.55,2.31,2.28,2.61,2.68,2.30,2.56,2.45,2.35,3.10,3.44,3.85,3.86,3.38,3.12,2.78,3.35,3.10,2.79,2.31,2.14,2.18,2.10,1.68,1.71
Truck transportation,27.68,28.74,28.76,29.91,30.29,29.99,30.57,31.84,31.85,31.56,31.77,31.55,31.00,31.11,30.58,29.88,28.22,27.07,26.19,26.96,27.13,26.64,26.95,26.34,25.56,25.65,25.87,25.23,28.80,28.59
Transit and ground passenger transportation,5.65,5.32,5.21,5.09,5.30,5.88,5.77,6.10,5.99,6.18,6.37,6.66,6.54,6.27,6.31,6.35,6.59,7.27,7.24,7.56,7.70,7.72,7.77,7.46,7.33,7.45,7.34,7.86,6.54,6.61
Pipeline transportation,4.97,5.32,3.47,2.89,2.94,2.70,3.50,3.60,3.04,5.22,3.28,3.21,3.02,2.62,2.61,3.14,3.82,3.61,4.67,4.77,5.35,5.49,5.78,6.51,6.73,6.73,6.87,6.31,7.20,6.64
Other transportation and support activities,19.69,21.37,23.09,22.27,22.50,21.71,21.36,20.04,21.39,22.44,23.45,22.79,22.99,23.64,23.05,21.72,22.11,21.17,20.88,20.78,20.06,19.72,19.13,19.10,19.04,18.88,19.21,19.88,25.14,26.13
Warehousing and storage,6.24,6.93,7.52,8.11,8.12,8.16,8.85,8.48,8.66,8.37,8.69,8.94,9.54,10.14,9.94,9.97,10.60,11.16,10.42,9.98,9.98,9.61,9.15,9.18,9.96,10.24,10.79,11.09,13.96,14.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
